sample_id	Status	batch
GSM139435	1	4
GSM139436	1	4
GSM139437	1	4
GSM139438	1	4
GSM139439	1	4
GSM139440	1	4
GSM139441	1	4
GSM139444	1	4
GSM139445	1	4
GSM139446	1	4
GSM139447	1	4
GSM139448	1	4
GSM139451	1	4
GSM139452	1	4
GSM139453	1	4
GSM139454	1	4
GSM139455	1	4
GSM139456	1	4
GSM139457	1	4
GSM139471	1	4
GSM139472	1	4
GSM139473	1	4
GSM139475	1	4
GSM139476	0	4
GSM139477	0	4
GSM139478	0	4
GSM139479	0	4
GSM359972	0	0
GSM359973	0	0
GSM359974	0	0
GSM359975	0	0
GSM359976	0	0
GSM359977	0	0
GSM359978	0	0
GSM359979	0	0
GSM359980	0	0
GSM359981	0	0
GSM359982	0	0
GSM359983	0	0
GSM359984	1	0
GSM360039	1	0
GSM360040	1	0
GSM360041	1	0
GSM360042	1	0
GSM360043	1	0
GSM360044	1	0
GSM360045	1	0
GSM360046	1	0
GSM360047	1	0
GSM360048	1	0
GSM360049	1	0
GSM657519	0	1
GSM657520	0	1
GSM657521	0	1
GSM657522	0	1
GSM657523	0	1
GSM657524	0	1
GSM657525	0	1
GSM657526	0	1
GSM657527	0	1
GSM657528	0	1
GSM657529	1	1
GSM657530	1	1
GSM657531	1	1
GSM657532	1	1
GSM657533	1	1
GSM657534	1	1
GSM657535	1	1
GSM657536	1	1
GSM657537	1	1
GSM657538	1	1
GSM657539	1	1
GSM657540	1	1
GSM657541	1	1
GSM657542	1	1
GSM657543	1	1
GSM657544	1	1
GSM657545	1	1
GSM657546	1	1
GSM657547	1	1
GSM657548	1	1
GSM657549	1	1
GSM657550	1	1
GSM657551	1	1
GSM657552	1	1
GSM657553	1	1
GSM657554	1	1
GSM657555	1	1
GSM657556	1	1
GSM657557	1	1
GSM657558	1	1
GSM657559	1	1
GSM657560	1	1
GSM657561	1	1
GSM657562	1	1
GSM657563	1	1
GSM657564	1	1
GSM657565	1	1
GSM657566	1	1
GSM657567	1	1
GSM657568	1	1
GSM657569	1	1
GSM657570	1	1
GSM657571	1	1
GSM657572	1	1
GSM657573	1	1
GSM657574	1	1
GSM657575	1	1
GSM657576	1	1
GSM657577	1	1
GSM657578	1	1
GSM657579	1	1
GSM657580	1	1
GSM657581	1	1
GSM657582	1	1
GSM657583	1	1
GSM657584	1	1
GSM657585	1	1
GSM657586	1	1
GSM657587	1	1
GSM657588	1	1
GSM657589	1	1
GSM657590	1	1
GSM657591	1	1
GSM657592	1	1
GSM657593	1	1
GSM657594	1	1
GSM657595	1	1
GSM657596	1	1
GSM657597	1	1
GSM657598	1	1
GSM657599	1	1
GSM657600	1	1
GSM657601	1	1
GSM657602	1	1
GSM657603	1	1
GSM657604	1	1
GSM657605	1	1
GSM657606	1	1
GSM657607	1	1
GSM657608	1	1
GSM657609	1	1
GSM657610	1	1
GSM657611	1	1
GSM657612	1	1
GSM657613	1	1
GSM657614	1	1
GSM657615	1	1
GSM657616	1	1
GSM657617	1	1
GSM657618	1	1
GSM657619	1	1
GSM657620	1	1
GSM657621	1	1
GSM657622	1	1
GSM657623	1	1
GSM657624	1	1
GSM657625	1	1
GSM657626	1	1
GSM657627	1	1
GSM657628	1	1
GSM657629	1	1
GSM657630	1	1
GSM657631	1	1
GSM657632	1	1
GSM657633	1	1
GSM657634	1	1
GSM657635	1	1
GSM657636	1	1
GSM657637	1	1
GSM657638	1	1
GSM657639	1	1
GSM657640	1	1
GSM657641	1	1
GSM657642	1	1
GSM657643	1	1
GSM657644	1	1
GSM657645	1	1
GSM657646	1	1
GSM657647	1	1
GSM657648	1	1
GSM657649	1	1
GSM657650	1	1
GSM657651	1	1
GSM657652	1	1
GSM657653	1	1
GSM657654	1	1
GSM657655	1	1
GSM657656	1	1
GSM657657	1	1
GSM657658	1	1
GSM657659	1	1
GSM657660	1	1
GSM657661	1	1
GSM657662	1	1
GSM657663	1	1
GSM657664	1	1
GSM657665	1	1
GSM657666	1	1
GSM657667	1	1
GSM657668	1	1
GSM657669	1	1
GSM657670	1	1
GSM657671	1	1
GSM657672	1	1
GSM657673	1	1
GSM657674	1	1
